Statistics Type on NE	Statistics Type and Statistics Counters desription	Statistics Counter on NE	Counter Name in XML	IMS element 	comment
	Supplementary service CFB successful activation	CV_SsActSucc = 2	IT.SS.CFBActSucc	TAS	
	Supplementary service CFB deactivation	CV_SsDeact = 3	IT.SS.CFBDeact	TAS	
	Supplementary service CFB successful deactivation	CV_SsDeactSucc = 4	IT.SS.CFBDeactSucc	TAS	
	Supplementary service CFB interogation	CV_SsInt = 5	IT.SS.CFBInt	TAS	
	Supplementary service CFB successful interogation	CV_SsIntSucc = 6	IT.SS.CFBIntSucc	TAS	
	Supplementary service CFB successful invocation	CV_SsInvSucc = 7	SC.CFBUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CFBUsed po standardu TS 22.409
CV_StstSupSrvCFU = 28	Statistics of Supplementary Services - CFU, FLM (Call Forwarding Unconditional, Follow me)				
	Supplementary service CFU activation	CV_SsAct = 1	IT.SS.CFUAct	TAS	
	Supplementary service successful CFU activation	CV_SsActSucc = 2	IT.SS.CFUActSucc	TAS	
	Supplementary service CFU deactivation	CV_SsDeact = 3	IT.SS.CFUDeact	TAS	
	Supplementary service successful CFU deactivation	CV_SsDeactSucc = 4	IT.SS.CFUDeactSucc	TAS	
	Supplementary service CFU interogation	CV_SsInt = 5	IT.SS.CFUInt	TAS	
	Supplementary service successful CFU interogation	CV_SsIntSucc = 6	IT.SS.CFUIntSucc	TAS	
	Supplementary service successful CFU invocation	CV_SsInvSucc = 7	SC.CFUUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CFUUsed po standardu TS 22.409
CV_StstSupSrvCFUT = 29	Statistics of Supplementary Service - CFUT (Call Forwarding Unconditional, Time Depending)				
	Supplementary service CFUT activation	CV_SsAct = 1	IT.SS.CFUTAct	TAS	
	Supplementary service successful CFUT activation	CV_SsActSucc = 2	IT.SS.CFUTActSucc	TAS	
	Supplementary service CFUT deactivation	CV_SsDeact = 3	IT.SS.CFUTDeact	TAS	
	Supplementary service successful CFUT deactivation	CV_SsDeactSucc = 4	IT.SS.CFUTDeactSucc	TAS	
	Supplementary service CFUT interogation	CV_SsInt = 5	IT.SS.CFUTInt	TAS	
	Supplementary service successful CFUT interogation	CV_SsIntSucc = 6	IT.SS.CFUTIntSucc	TAS	
	Supplementary service successful CFUT invocation	CV_SsInvSucc = 7	SC.CFUUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CFUUsed po standardu TS 22.409 
CV_StstSupSrvCINT = 30	Statistics of Supplementary Service - CINT (Call Intrusion)				
	Supplementary service successful CINT invocation	CV_SsInvSucc = 7	IT.SS.CINTInvSucc	TAS	
CV_StstSupSrvCPU = 31	Statistics of Supplementary Services CPUg, CPUs (Call Pick Up Group, Call Pick Up Single)				
	Supplementary service successful CPU invocation	CV_SsInvSucc = 7	IT.SS.CPUInvSucc	TAS	
CV_StstSupSrvCPUP = 32	Statistics of Supplementary Service CPUP (Call Pick Up, Protection)				
	Supplementary service CPUP activation	CV_SsAct = 1	IT.SS.CPUPAct	TAS	
	Supplementary service successful CPUP activation	CV_SsActSucc = 2	IT.SS.CPUPActSucc	TAS	
	Supplementary service CPUP deactivation	CV_SsDeact = 3	IT.SS.CPUPDeact	TAS	
	Supplementary service successful CPUP deactivation	CV_SsDeactSucc = 4	IT.SS.CPUPDeactSucc	TAS	
	Supplementary service CPUP interogation	CV_SsInt = 5	IT.SS.CPUPInt	TAS	
	Supplementary service successful CPUP interogation	CV_SsIntSucc = 6	IT.SS.CPUPIntSucc	TAS	
CV_StstSupSrvCT = 33	Statistics of Supplementary Service CT (Call Transfer)				
	Supplementary service successful CT invocation	CV_SsInvSucc = 7	SC.ECTBlindUsed	TAS	ali kriterij za poveèanje števca lahko uporabimo tudi za poveèanje števca SC.ECTBlindUsed ali SC.ECTAskUsed ??
CV_StstSupSrvCW = 34	Statistics of Supplementary Service CW (Call Waiting)				
	Supplementary service CW activation	CV_SsAct = 1	IT.SS.CWAct	TAS	
	Supplementary service successful CW activation	CV_SsActSucc = 2	IT.SS.CWActSucc	TAS	
	Supplementary service CW deactivation	CV_SsDeact = 3	IT.SS.CWDeact	TAS	
	Supplementary service successful CW deactivation	CV_SsDeactSucc = 4	IT.SS.CWDeactSucc	TAS	
	Supplementary service CW interogation	CV_SsInt = 5	IT.SS.CWInt	TAS	
	Supplementary service successful CW interogation	CV_SsIntSucc = 6	IT.SS.CWIntSucc	TAS	
CV_StstSupSrvCAMP = 35	Statistics of Supplementary Service CAMP (Camp on busy)				
	Supplementary service successful CAMP invocation	CV_SsInvSucc = 7	IT.SS.CAMPInvSucc	TAS	
CV_StstSupSrvCAMPP = 36	Statistics of Supplementary Service CAMPP (Camp on busy Protection, Subscriber Controlled)				
	Supplementary service CAMPP activation	CV_SsAct = 1	IT.SS.CAMPPAct	TAS	
	Supplementary service successful CAMPP activation	CV_SsActSucc = 2	IT.SS.CAMPPActSucc	TAS	
	Supplementary service CAMPP deactivation	CV_SsDeact = 3	IT.SS.CAMPPDeact	TAS	
	Supplementary service successful CAMPP deactivation	CV_SsDeactSucc = 4	IT.SS.CAMPPDeactSucc	TAS	
	Supplementary service CAMPP interogation	CV_SsInt = 5	IT.SS.CAMPPInt	TAS	
	Supplementary service successful CAMPP interogation	CV_SsIntSucc = 6	IT.SS.CAMPPIntSucc	TAS	
CV_StstSupSrvCCBS = 37	Statistics of Supplementary Services CCBS, NCBS (Completion of Calls to Busy Subscriber, Notification Call To Busy Subscriber)				
	Supplementary service CCBS activation	CV_SsAct = 1	IT.SS.CCBSAct	TAS	
	Supplementary service successful CCBS activation	CV_SsActSucc = 2	IT.SS.CCBSActSucc	TAS	
	Supplementary service CCBS deactivation	CV_SsDeact = 3	IT.SS.CCBSDeact	TAS	
	Supplementary service successful CCBS deactivation	CV_SsDeactSucc = 4	IT.SS.CCBSDeactSucc	TAS	
	Supplementary service CCBS interogation	CV_SsInt = 5	IT.SS.CCBSInt	TAS	
	Supplementary service successful CCBS interogation	CV_SsIntSucc = 6	IT.SS.CCBSIntSucc	TAS	
	Supplementary service successful CCBS invocation	CV_SsInvSucc = 7	SC.CCBSUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CCBSUsed po standardu TS 22.409 
CV_StstSupSrvDND = 39	Statistics of Supplementary Services DND (Do Not Disturb)				
	Supplementary service DND activation	CV_SsAct = 1	IT.SS.DNDAct	TAS	
	Supplementary service successful DND activation	CV_SsActSucc = 2	IT.SS.DNDActSucc	TAS	
	Supplementary service DND deactivation	CV_SsDeact = 3	IT.SS.DNDDeact	TAS	
	Supplementary service successful DND deactivation	CV_SsDeactSucc = 4	IT.SS.DNDDeactSucc	TAS	
	Supplementary service DND interogation	CV_SsInt = 5	IT.SS.DNDInt	TAS	
	Supplementary service successful DND interogation	CV_SsIntSucc = 6	IT.SS.DNDIntSucc	TAS	
CV_StstSupSrvDNDO = 40	Statistics of Supplementary Services DNDO (Do Not Disturb Override)				
	Supplementary service successful DNDO invocation	CV_SsInvSucc = 7	IT.SS.DNDOInvSucc	TAS	
CV_StstSupSrvHOTD = 41	Statistics of Supplementary Service HOTD (Fixed Destination Call, With Time Out)				
	Supplementary service HOTD activation	CV_SsAct = 1	IT.SS.HOTDAct	TAS	
	Supplementary service successful  HOTD activation	CV_SsActSucc = 2	IT.SS.HOTDActSucc	TAS	
	Supplementary service HOTD deactivation	CV_SsDeact = 3	IT.SS.HOTDDeact	TAS	
	Supplementary service successful HOTD deactivation	CV_SsDeactSucc = 4	IT.SS.HOTDDeactSucc	TAS	
	Supplementary service HOTD interogation	CV_SsInt = 5	IT.SS.HOTDInt	TAS	
	Supplementary service successful HOTD interogation	CV_SsIntSucc = 6	IT.SS.HOTDIntSucc	TAS	
CV_StstSupSrvKEY = 42	Statistics of Supplementary Service KEY (Keyword Subscriber Controlled)				
	Supplementary service KEY activation	CV_SsAct = 1	IT.SS.KEYAct	TAS	
	Supplementary service successful KEY activation	CV_SsActSucc = 2	IT.SS.KEYActSucc	TAS	
CV_StstSupSrvMCID = 43	Statistics of Supplementary Service MCID (Malicious Call Identification)				
	Supplementary service successful MCID invocation	CV_SsInvSucc = 7	IT.SS.MCIDInvSucc	TAS	
CV_StstSupSrvCBSC = 44	Statistics of Supplementary Service CBSC (Originating Call Barring, Subscriber Controlled)				v IMS se storitev imenuje Outgoing Communication Barring (OCB)
	Supplementary service CBSC activation	CV_SsAct = 1	IT.SS.CBSCAct	TAS	
	Supplementary service successful CBSC activation	CV_SsActSucc = 2	IT.SS.CBSCActSucc	TAS	
	Supplementary service CBSC deactivation	CV_SsDeact = 3	IT.SS.CBSCDeact	TAS	
	Supplementary service successful CBSC deactivation	CV_SsDeactSucc = 4	IT.SS.CBSCDeactSucc	TAS	
	Supplementary service CBSC interogation	CV_SsInt = 5	IT.SS.CBSCInt	TAS	
	Supplementary service successful CBSC interogation	CV_SsIntSucc = 6	IT.SS.CBSCIntSucc	TAS	
CV_StstSupSrvCFXD = 45	Statistics of Supplementary Service CFXD (Call Forwarding to Default Nr)				
	Supplementary service CFXD activation	CV_SsAct = 1	IT.SS.CFXDAct	TAS	
	Supplementary service successful CFXD activation	CV_SsActSucc = 2	IT.SS.CFXDActSucc	TAS	
	Supplementary service CFXD deactivation	CV_SsDeact = 3	IT.SS.CFXDDeact	TAS	
	Supplementary service successful CFXD deactivation	CV_SsDeactSucc = 4	IT.SS.CFXDDeactSucc	TAS	
	Supplementary service CFXD interogation	CV_SsInt = 5	IT.SS.CFXDInt	TAS	
	Supplementary service successful CFXD interogation	CV_SsIntSucc = 6	IT.SS.CFXDIntSucc	TAS	
CV_StstSupSrvNC = 46	Statistics of Supplementary Service NC (Notification Call)				
	Supplementary service NC activation	CV_SsAct = 1	IT.SS.NCAct	TAS	
	Supplementary service successful NC activation	CV_SsActSucc = 2	IT.SS.NCActSucc	TAS	
	Supplementary service NC deactivation	CV_SsDeact = 3	IT.SS.NCDeact	TAS	
	Supplementary service successful NC deactivation	CV_SsDeactSucc = 4	IT.SS.NCDeactSucc	TAS	
	Supplementary service NC interogation	CV_SsInt = 5	IT.SS.NCInt	TAS	
	Supplementary service successful NC interogation	CV_SsIntSucc = 6	IT.SS.NCIntSucc	TAS	
	Supplementary service successful NC invocation	CV_SsInvSucc = 7	IT.SS.NCInvSucc	TAS	
CV_StstSupSrvCFNRc = 48	Statistics of Supplementary Service CFNRc (Call Forwarding on Not Reachable)				
	Supplementary service CFNRc activation	CV_SsAct = 1	IT.SS.CFNRcAct	TAS	
	Supplementary service successful CFNRc activation	CV_SsActSucc = 2	IT.SS.CFNRcActSucc	TAS	
	Supplementary service CFNRc deactivation	CV_SsDeact = 3	IT.SS.CFNRcDeact	TAS	
	Supplementary service successful CFNRc deactivation	CV_SsDeactSucc = 4	IT.SS.CFNRcDeactSucc	TAS	
	Supplementary service CFNRc interogation	CV_SsInt = 5	IT.SS.CFNRcInt	TAS	
	Supplementary service successful CFNRc interogation	CV_SsIntSucc = 6	IT.SS.CFNRcIntSucc	TAS	
	Supplementary service successful CFNRc invocation	CV_SsInvSucc = 7	SC.CFNRcUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CFNRcUsed po standardu TS 22.409
CV_StstIMS = 68	IMS Statistics - registration, deregistration				
	Attempted Initial Registration	CV_IMSAttInitReg = 1	UR.AttInitReg	P-CSCF, S-CSCF	
	Successful initial registration	CV_IMSSuccInitReg = 2	UR.SuccInitReg	P-CSCF, S-CSCF	
	Attempted re-registration	CV_IMSAttReReg = 3	UR.AttReReg	S-CSCF	na P-CSCF se pri poskusu re-registracije poveèa števec UR.AttInitReg
	Successful re-registration	CV_IMSSuccReReg = 4	UR.SuccReReg	S-CSCF	na P-CSCF se pri uspešnem poskusu re-registracije poveèa števec UR.SuccInitReg
	Attempted de-registration initiated by UE	CV_IMSAttDeRegUe = 5	UR.AttDeRegUe	P-CSCF, S-CSCF	
	Successful de-registration initated by UE	CV_IMSSuccDeRegUe = 6	UR.SuccDeRegUe	P-CSCF, S-CSCF	
	Attempted de-registration initiated by UPSF	CV_IMSAttDeRegUpsf = 7	UR.AttDeRegHss	S-CSCF	
	Successful de-registration initiated by UPSF	CV_IMSSuccDeRegUpsf = 8	UR.SuccDeRegHss	S-CSCF	
	Attempted third party registration 	CV_IMSAtt3rdPartyReg = 9	UR.Att3rdPartyReg	S-CSCF	
	Successful third party registration	CV_IMSSucc3rdPartyReg = 10	UR.Succ3rdPartyReg	S-CSCF	
	Attempted user registration status query	CV_IMSAttUAR = 11	UR.AttUAR	I-CSCF	
	Successful user registration status query - first registration	CV_IMSSuccUAAFirstReg = 12	UR.SuccUAA.2001	I-CSCF	v prvi verziji je bil števec poimenovan UR.SuccUAA.FirstReg, v zadnji verziji je v imenu CauseNr - DIAMETER_FIRST_REGISTRATION (2001)
	Successful user registration status query - subsequent registration	CV_IMSSuccUAASubsReg = 13	UR.SuccUAA.2002	I-CSCF	v prvi verziji je bil števec poimenovan UR.SuccUAA.SubsReg, v zadnji verziji je v imenu CauseNr - DIAMETER_SUBSEQUENT_REGISTRATION (2002)
	Successful user registration status query - unregistered service	CV_IMSSuccUAAUnregSrv = 14		I-CSCF	števec se ne sme prikazovati na PQMS/PMON, ker dogodkov ne štejemo
	Successful user registration status query - Success Server Name Not Stored	CV_IMSSuccUAASrvrNameNotStored = 15		I-CSCF	števec se ne sme prikazovati na PQMS/PMON, ker dogodkov ne štejemo
	Attempted S-CSCF registration/deregistration notification	CV_IMSAttSAR = 16	UR.AttSAR	S-CSCF	
	Successful S-CSCF registration/deregistration notification	CV_IMSSuccSAA = 17	UR.SuccSAA	S-CSCF	
	Attempted de-registration initiated by Service Platform	CV_IMSAttDeRegSrvPlatform = 18	UR.AttDeRegSrvPlatform	S-CSCF	
	Successful de-registration initiated by Service Platform	CV_IMSSuccDeRegSrvPlatform = 19	UR.SuccDeRegSrvPlatform	S-CSCF	
	Successful user registration status query - Sum	CV_IMSSuccUAASum = 20	UR.SuccUAA.sum	I-CSCF	
	Failed user registration status query - Sum	CV_IMSFailUAASum = 21	UR.FailUAA.sum	I-CSCF	
	Failed user registration status query - User Unknown	CV_IMSFailUAA5002 = 22	UR.FailUAA.5002	I-CSCF	
	Failed user registration status query - Identities Dont Match	CV_IMSFailUAA5004 = 23	UR.FailUAA.5004	I-CSCF	
	Failed S-CSCF registration/deregistration notification - Sum	CV_IMSFailSAASum = 24	UR.FailSAA.sum	S-CSCF	
CV_StstIMS_SessionControl = 73	IMS Statistics - Measurements related to Session Control				Prviè realizirano na IC_Proxy (IC1021AX)
	Attempted Session Establishements	CV_SCAttSession = 1	SC.AttSession	P-CSCF, S-CSCF	
	Successful Session Establishements - 180_Ringing	CV_SCSuccSession180 = 2	SC.SucSession.180	P-CSCF, S-CSCF	First response message is 180_ringing
	Successful Session Establishements - 200_OK	CV_SCSuccSession200 = 3	SC.SucSession.200	P-CSCF, S-CSCF	First response message is 200_OK, 180_Ringing has not been sent
	Answered Session Establishements	CV_SCAnsSession = 4	SC.AnsSession	P-CSCF, S-CSCF	
	Failed Session Establishements - Sum	CV_SCFailSessionSum = 5	SC.FailSession.sum	P-CSCF, S-CSCF	
	Failed Session Establishements - Bad Request	CV_SCFailSession400 = 6	SC.FailSession.400	P-CSCF, S-CSCF	
	Failed Session Establishements - Forbidden	CV_SCFailSession403 = 7	SC.FailSession.403	P-CSCF, S-CSCF	
	Failed Session Establishements - Not Found	CV_SCFailSession404 = 8	SC.FailSession.404	P-CSCF, S-CSCF	
	Failed Session Establishements - Request URI Too Long	CV_SCFailSession414 = 9	SC.FailSession.414	P-CSCF, S-CSCF	
	Failed Session Establishements - Usupported Media Type	CV_SCFailSession415 = 10	SC.FailSession.415	P-CSCF, S-CSCF	
	Failed Session Establishements - Usupported URI Scheme	CV_SCFailSession416 = 11	SC.FailSession.416	P-CSCF, S-CSCF	
	Failed Session Establishements - Temporary Unavailabe	CV_SCFailSession480 = 12	SC:FailSession.480	P-CSCF, S-CSCF	
	Failed Session Establishements - Call Transaction Does Not Exisit	CV_SCFailSession481 = 13	SC.FailSession.481	P-CSCF, S-CSCF	
	Failed Session Establishements - Address Incomplete	CV_SCFailSession484 = 14	SC.FailSession.484	P-CSCF, S-CSCF	
	Failed Session Establishements - Busy Here	CV_SCFailSession486 = 15	SC.FailSession.486	P-CSCF, S-CSCF	
	Failed Session Establishements - Not Acceptable Here	CV_SCFailSession488 = 16	SC.FailSession.488	P-CSCF, S-CSCF	
	Failed Session Establishements - Request Pending	CV_SCFailSession491 = 17	SC.FailSession.491	P-CSCF, S-CSCF	
	Failed Session Establishements - Server Internal Error	CV_SCFailSession500 = 18	SC.FailSession.500	P-CSCF, S-CSCF	
	Failed Session Establishements - Bad Gateway	CV_SCFailSession502 = 19	SC.FailSession.502	P-CSCF, S-CSCF	
	Failed Session Establishements - Service Unavailable	CV_SCFailSession503 = 20	SC.FailSession.503	P-CSCF, S-CSCF	
	Failed Session Establishements - Busy Everywhere	CV_SCFailSession600 = 21	SC.FailSession.600	P-CSCF, S-CSCF	
	Failed Session Establishements - Decline	CV_SCFailSession603 = 22	SC.FailSession.603	P-CSCF, S-CSCF	
	Dropped Sessions	CV_SCDroppedSession = 23	SC.DroppedSession	P-CSCF, I-CSCF, S-CSCF	števec še ni realiziran
	Attempted Originating Session Establishements	CV_SCAttSessionOrig = 24	SC.AttSessionOrig	P-CSCF	
	Successful Originating Session Establishements - 180_Ringing	CV_SCSuccSessionOrig180 = 25	SC.SuccSessionOrig.180	P-CSCF	First response message is 180_Ringing
	Successful Originating Session Establishements - 200_OK	CV_SCSuccSessionOrig200 = 26	SC.SuccSessionOrig.200	P-CSCF	First response message is 200_OK, 180_Ringing has not been sent
	Attempted Terminating Session Establishements	CV_SCAttSessionTerm = 27	SC.AttSessionTerm	P-CSCF, I-CSCF	
	Successful Terminating Session Establishements - 180_Ringing	CV_SCSuccSessionTerm180 = 28	SC.SuccSessionTerm.180	P-CSCF, I-CSCF	First response message is 180_Ringing
	Successful Terminating Session Establishements - 200_OK	CV_SCSuccSessionTerm200 = 29	SC.SuccSessionTerm.200	P-CSCF, I-CSCF	First response message is 200_OK, 180_Ringing has not been sent
	The Number of Release before Ringing	CV_SCRelBeforeRing = 30	SC.RelBeforeRing	P-CSCF, S-CSCF	
	The Number of Release while Ringing	CV_SCRelAfterRing = 31	SC.RelAfterRing	P-CSCF, S-CSCF	
CV_StstIMS_UserLocationQuery = 74	IMS Statistics - Measurements related to User Location Query				Prviè realizirano na IC_Proxy (IC1021AX)
	Attempted User Location Query procedures	CV_LIQAttLIR = 1	LIQ.AttLIR	I-CSCF	
	Successful User Location Query procedures	CV_LIQSuccLIA = 2	LIQ.SuccLIA	I-CSCF	
	Failed User Location Query procedures - Sum	CV_LIQFailLIASum = 3	LIQ.FailLIA.sum	I-CSCF	
	Failed User Location Query procedures - User Unknown	CV_LIQFailLIA5001 = 4	LIQ.FailLIA.5001	I-CSCF	
	Failed User Location Query procedures - Identity not Regstered	CV_LIQFailLIA5003 = 5	LIQ.FailLIA.5003	I-CSCF	
CV_StstIMS_Authentication = 75	IMS Statistics - Measurements related to Authentification				Prviè realizirano na IC_Proxy (IC1021AX)
	Attempted Authentification procedures	CV_MAAttMAR = 1	MA.AttMAR	S-CSCF	
	Successful Authentification procedures	CV_MASuccMAA = 2	MA.SuccMAA	S-CSCF	
	Failed Authentification procedures - Sum	CV_MAFailMAASum = 3	MA.FailMAA.sum	S-CSCF	
	Failed Authentification procedures - User Unknown	CV_MAFailMAA5001 =  4	MA.FailMAA.5001	S-CSCF	
	Failed Authentification procedures - Identities Dont Match	CV_MAFailMAA5002 = 5	MA.FailMAA.5002	S-CSCF	
	Failed Authentification procedures - Authentication Scheme not Supported	CV_MAFailMAA5006 = 5	MA.FailMAA.5006	S-CSCF	
CV_StstIMS_UpdateUserPrf = 76	IMS Statistics - Measurements related to HSS initiated update of User Profile				Prviè realizirano na IC_Proxy (IC1021AX)
	Attempted HSS initated User Profile Update procedures	CV_UPAttPPR = 1	UP.AttPPR	S-CSCF	
	Successful HSS initated User Profile Update procedures	CV_UPSuccPPA = 2	UP.SuccPPA	S-CSCF	
	Failed HSS initated User Profile Update procedures - Sum	CV_UPFailPPASum = 3	UP.FailPPA.sum	S-CSCF	
	Failed HSS initated User Profile Update procedures - User Unknown	CV_UPFailPPA5001 = 4	UP.FailPPA.5001	S-CSCF	
	Failed HSS initated User Profile Update procedures - Too Much Data	CV_UPFailPPA5008 = 5	UP.FailPPA.5008	S-CSCF	
	Failed HSS initated User Profile Update procedures - Not Supported User Data	CV_UPFailPPA5009 = 6	UP.FailPPA.5009	S-CSCF	
	Failed HSS initated User Profile Update procedures - Unable To Comply	CV_UPFailPPA5012 = 7	UP.FailPPA.5012	S-CSCF	
CV_StstIMS_Subscribe = 77	IMS Statistics - Measurements related to Subscription procedure				Prviè realizirano na IC_Proxy (IC1021AX)
	Number of attempted Subscription procedures	CV_SUBAttSubscr = 1	SUB.AttSubscribe	S-CSCF	
	Number of successful Subscription procedures	CV_SUBSuccSubscr = 2	SUB.SuccSubscribe	S-CSCF	
	Number of failed Subscription procedures - Sum	CV_SUBFailSum = 3	SUB.FailedSubscribe.sum	S-CSCF	
	Number of failed Subscription procedures - BadRequest	CV_SUBFail400 = 4	SUB.FailedSubscribe.400	S-CSCF	
	Number of failed Subscription procedures - Forbidden	CV_SUBFail403 = 5	SUB.FailedSubscribe.403	S-CSCF	
	Number of failed Subscription procedures - Not Found	CV_SUBFail404 = 6	SUB.FailedSubscribe.404	S-CSCF	
	Number of failed Subscription procedures - Too Many Hops	CV_SUBFail483 = 7	SUB.FailedSubscribe.483	S-CSCF	
	Number of failed Subscription procedures - Bad Event	CV_SUBFail489 = 8	SUB.FailedSubscribe.489	S-CSCF	
	Number of failed Subscription procedures - Server Internal Error	CV_SUBFail500 = 9	SUB.FailedSubscribe.500	S-CSCF	
	Number of failed Subscription procedures - Service Unavailable	CV_SUBFail503 = 10	SUB.FailedSubscribe.503	S-CSCF	
CV_StstIMS_Notify = 78	IMS Statistics - Measurements related to Notify procedure				Prviè realizirano na IC_Proxy (IC1021AX)
	Number of emitted Notify procedures	CV_NOTIFEmitNtfy = 1	NOTIF.EmittedNotify	S-CSCF	
	Number of successful Notify procedures	CV_NOTIFSuccNtfy = 2	NOTIF.SuccNotify	S-CSCF	
	Number of failed Notify procedures - Sum	CV_NOTIFFailNtfySum = 3	NOTIF.FailedNotify.sum	S-CSCF	
	Number of failed Notify procedures - CallTransactionDoesNotExist	CV_NOTIFFailNtfy481 = 4	NOTIF.FailedNotify.481	S-CSCF	
	Number of failed Notify procedures - BadEvent	CV_NOTIFFailNtfy489 = 5	NOTIF.FailedNotify.489	S-CSCF	
CV_StstIMS_Message = 79	IMS Statistics - Measurements related to Immediate Messaging				Prviè realizirano na IC_Proxy (IC1021AX)
	Attempted Immediate Messaging procedures	CV_SCAttImMsg = 1	SC.AttImMsg	S-CSCF	
	Successful Immediate Messaging procedures	CV_SCSuccImMsg = 2	SC.SuccImMsg	S-CSCF	
	Failed Immediate Messaging procedures - Sum	CV_SCFailImMsgSum = 3	SC.FailImMsg.sum	S-CSCF	
	Failed Session Establishements - Bad Request	CV_SCFailImMsg400 = 4	SC.FailImMsg.400	S-CSCF	
	Failed Session Establishements - Forbidden	CV_SCFailImMsg403 = 5	SC.FailImMsg.403	S-CSCF	
	Failed Session Establishements - Not Found	CV_SCFailImMsg404 = 6	SC.FailImMsg.404	S-CSCF	
	Failed Session Establishements - Request URI Too Long	CV_SCFailImMsg414 = 7	SC.FailImMsg.414	S-CSCF	
	Failed Session Establishements - Usupported Media Type	CV_SCFailImMsg415 = 8	SC.FailImMsg.415	S-CSCF	
	Failed Session Establishements - Usupported URI Scheme	CV_SCFailImMsg416 = 9	SC.FailImMsg.416	S-CSCF	
	Failed Session Establishements - Temporary Unavailabe	CV_SCFailImMsg480 = 10	SC.FailImMsg.480	S-CSCF	
	Failed Session Establishements - Call Transaction Does Not Exisit	CV_SCFailImMsg481 = 11	SC.FailImMsg.481	S-CSCF	
	Failed Session Establishements - Address Incomplete	CV_SCFailImMsg484 = 12	SC.FailImMsg.484	S-CSCF	
	Failed Session Establishements - Busy Here	CV_SCFailImMsg486 = 13	SC.FailImMsg.486	S-CSCF	
	Failed Session Establishements - Not Acceptable Here	CV_SCFailImMsg488 = 14	SC.FailImMsg.488	S-CSCF	
	Failed Session Establishements - Request Pending	CV_SCFailImMsg491 = 15	SC.FailImMsg.491	S-CSCF	
	Failed Session Establishements - Server Internal Error	CV_SCFailImMsg500 = 16	SC.FailImMsg.500	S-CSCF	
	Failed Session Establishements - Bad Gateway	CV_SCFailImMsg502 = 17	SC.FailImMsg.502	S-CSCF	
	Failed Session Establishements - Service Unavailable	CV_SCFailImMsg503 = 18	SC.FailImMsg.503	S-CSCF	
f	Failed Session Establishements - Busy Everywhere	CV_SCFailImMsg600 = 19	SC.FailImMsg.600	S-CSCF	
	Failed Session Establishements - Decline	CV_SCFailImMsg603 = 20	SC.FailImMsg.603	S-CSCF	
CV_MS_MediaChStstGrp = 80	MS Statistics - Media channels statistics				
	Average number of media channels simultaneously used for tone generation or DTMF detection	CV_MS_AvgChTone = 1	IT.MSAvgChTone	MS	
	Average number of media channels simultaneously used for conference	CV_MS_AvgChCnf = 2	IT.MSAvgChCnf	MS	
	Average number of media channels simultaneously used for transcoding	CV_MS_AvgChTc = 3	IT.MSAvgChTc	MS	
	Average number of media channels simultaneously used for RTP proxy	CV_MS_AvgChPx = 4	IT.MSAvgChVXML	MS	
	Average number of media channels simultaneously used for announcements or VoiceXML	CV_MS_AvgChAnnOrVxml = 5	IT.MSAvgChPx	MS	
	Average number of media channels simultaneously used for basic announcements	CV_MS_AvgChBasicAnn = 6	IT.MSAvgChBasicVxml	MS	
	Average number of media channels simultaneously used for advanced announcements	CV_MS_AvgChAdvncAnn = 7	IT.MSAvgChAdvVxml	MS	
	Average number of media channels simultaneously used for VoiceXML	CV_MS_AvgChVxml = 8	IT.MSAvgChVoXML	MS	
	Average total number of simultaneously used media channels	CV_MS_AvgChTotal = 9	IT.MSAvgChTotal	MS	
	Average aggregate load of media channels	CV_MS_AvgAgrgLoad = 10	IT.MSAvgAgrgLoad	MS	
	Maximum number of media channels simultaneously used for tone generation or DTMF detection	CV_MS_MaxChTone = 11	IT.MSMaxChTone	MS	
	Maximum number of media channels simultaneously used for conference	CV_MS_MaxChCnf = 12	IT.MSMaxChCnf	MS	
	Maximum number of media channels simultaneously used for transcoding	CV_MS_MaxChTc = 13	IT.MSMaxChTc	MS	
	Maximum number of media channels simultaneously used for RTP proxy	CV_MS_MaxChPx = 14	IT.MSMaxChBasicVxml	MS	
	Maximum number of media channels simultaneously used for announcements or VoiceXML	CV_MS_MaxChAnnOrVxml = 15	IT.MSMaxChVXML	MS	
	Maximum number of media channels simultaneously used for basic announcements	CV_MS_MaxChBasicAnn = 16	IT.MSMaxChBasicVxml	MS	
	Maximum number of media channels simultaneously used for advanced announcements	CV_MS_MaxChAdvncAnn = 17	IT.MSMaxChAdvVxml	MS	
	Maximum number of media channels simultaneously used for VoiceXML	CV_MS_MaxChVxml = 18	IT.MSMaxChVoXML	MS	
	Maximum total number of simultaneously used media channels	CV_MS_MaxChTotal = 19	IT.MSMaxChTotal	MS	
	Maximum  aggregate load of media channels	CV_MS_MaxAgrgLoad = 20	IT.MSMaxAgrgLoad	MS	
CV_AGCFStstGrp = 209	AGCF Statistics				
	No of all Originating call attempts of an AGCF user - INVITE sent	CV_AGCFOrgCallAtt = 1	IT.AGCFOrgCallAtt	AGCF	
